smsa66,smsa76,nearc2,nearc4,nearc4a,nearc4b,ed76,ed66,age76,daded,nodaded,momed,nomomed,momdad14,sinmom14,step14,south66,south76,lwage76,famed,black,enroll76,kww,iqscore,mar76,libcrd14,exp76
0.0,1.0,0.0,1.0,1.0,0.0,0.8125,0.4444444444444444,0.09999999999999964,0.38888888888888884,0.0,0.4444444444444444,0.0,1.0,0.0,0.0,1.0,1.0,0.49002600544261954,0.875,1.0,0.0,0.38,0.5297957743372591,1.0,0.0,0.17391304347826086
1.0,1.0,1.0,1.0,0.0,1.0,0.6875,0.4444444444444444,0.09999999999999964,0.5522222222222222,1.0,0.2777777777777778,1.0,0.0,1.0,0.0,1.0,1.0,0.439886983724034,1.0,1.0,0.0,0.45999999999999996,0.5297957743372591,0.16666666666666666,1.0,0.2608695652173913
0.0,1.0,1.0,1.0,1.0,0.0,0.875,0.7222222222222222,0.5,0.6666666666666666,0.0,0.6666666666666666,0.0,1.0,0.0,0.0,0.0,0.0,0.769193755800434,0.25,0.0,0.0,0.5508133648329395,0.5297957743372591,0.16666666666666666,1.0,0.30434782608695654
1.0,1.0,1.0,1.0,1.0,0.0,0.5,0.5,0.5999999999999996,0.16666666666666666,0.0,0.5694444444444444,0.0,1.0,0.0,0.0,1.0,1.0,0.5184920428503277,1.0,1.0,0.0,0.48,0.5297957743372591,0.16666666666666666,0.0,0.6086956521739131
1.0,0.0,0.0,1.0,1.0,0.0,0.875,0.6666666666666666,0.2999999999999998,0.8888888888888888,0.0,0.8888888888888888,0.0,1.0,0.0,0.0,0.0,1.0,0.5061573050951989,0.0,0.0,0.0,0.42000000000000004,0.6666666666666666,0.16666666666666666,1.0,0.21739130434782608
0.0,0.0,0.0,0.0,0.0,0.0,0.625,0.4444444444444444,0.0,0.16666666666666666,0.0,0.5694444444444444,0.0,1.0,0.0,0.0,1.0,1.0,0.4528183150775278,1.0,0.0,0.0,0.5800000000000001,0.5297957743372591,0.16666666666666666,1.0,0.2608695652173913
1.0,1.0,1.0,1.0,0.0,1.0,0.75,0.7777777777777777,0.7999999999999998,0.6666666666666666,0.0,0.6666666666666666,0.0,1.0,0.0,0.0,1.0,1.0,0.711963541432435,0.25,0.0,0.0,0.5,0.5297957743372591,0.16666666666666666,1.0,0.5217391304347826
0.0,1.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.16666666666666666,0.0,0.05555555555555555,0.0,1.0,0.0,0.0,1.0,1.0,0.5215014282708632,0.875,1.0,0.0,0.28,0.3535353535353536,0.16666666666666666,1.0,0.5652173913043478
0.0,0.0,0.0,0.0,0.0,0.0,0.8125,0.5,0.0,0.6666666666666666,0.0,0.6666666666666666,0.0,1.0,0.0,0.0,0.0,0.0,0.37164510448879295,0.25,0.0,1.0,0.52,0.4545454545454546,1.0,1.0,0.13043478260869565
1.0,1.0,0.0,1.0,1.0,0.0,0.75,0.6666666666666666,0.5,0.5522222222222222,1.0,0.6666666666666666,1.0,0.0,1.0,0.0,0.0,0.0,0.4231421078403472,0.375,0.0,1.0,0.64,0.38383838383838387,0.6666666666666666,1.0,0.3913043478260869
0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.7777777777777777,0.5999999999999996,1.0,0.0,0.7777777777777777,0.0,1.0,0.0,0.0,1.0,1.0,0.5512034239503556,0.0,0.0,0.0,0.72,0.6262626262626264,0.16666666666666666,1.0,0.2608695652173913
0.0,1.0,0.0,0.0,0.0,0.0,0.625,0.5,0.09999999999999964,0.4444444444444444,0.0,0.5555555555555556,0.0,1.0,0.0,0.0,0.0,0.0,0.5067856625066556,0.875,0.0,0.0,0.42000000000000004,0.38383838383838387,0.16666666666666666,0.0,0.30434782608695654
0.0,1.0,0.0,0.0,0.0,0.0,0.9375,0.8333333333333333,0.6999999999999997,0.5,0.0,0.7777777777777777,0.0,1.0,0.0,0.0,0.0,0.0,0.5624462413188087,0.625,0.0,0.0,0.68,0.585858585858586,0.16666666666666666,1.0,0.34782608695652173
1.0,1.0,0.0,1.0,1.0,0.0,0.75,0.7777777777777777,0.7999999999999998,0.5522222222222222,1.0,0.6666666666666666,1.0,1.0,0.0,0.0,0.0,1.0,0.6415412808490315,0.375,0.0,0.0,0.88,0.7070707070707071,0.6666666666666666,1.0,0.5217391304347826
1.0,1.0,0.0,0.0,0.0,0.0,0.875,0.7777777777777777,0.7999999999999998,1.0,0.0,0.7777777777777777,0.0,1.0,0.0,0.0,0.0,0.0,0.5196993822410094,0.0,0.0,0.0,0.78,0.5297957743372591,0.16666666666666666,1.0,0.43478260869565216
1.0,1.0,0.0,0.0,0.0,0.0,0.625,0.611111111111111,0.2999999999999998,0.5522222222222222,1.0,0.5694444444444444,1.0,0.0,0.0,0.0,1.0,1.0,0.28052730445677776,1.0,1.0,0.0,0.44000000000000006,0.3434343434343434,0.16666666666666666,0.0,0.3913043478260869
1.0,1.0,1.0,1.0,1.0,0.0,0.625,0.5,0.09999999999999964,0.4444444444444444,0.0,0.6666666666666666,0.0,1.0,0.0,0.0,1.0,1.0,0.47302230165621584,0.625,0.0,0.0,0.28,0.36363636363636365,0.16666666666666666,1.0,0.30434782608695654
0.0,0.0,0.0,0.0,0.0,0.0,0.625,0.5555555555555556,0.2999999999999998,0.2777777777777778,0.0,0.38888888888888884,0.0,1.0,0.0,0.0,1.0,1.0,0.37643200546966593,0.875,0.0,0.0,0.4,0.33333333333333337,1.0,1.0,0.3913043478260869
1.0,1.0,1.0,1.0,1.0,0.0,0.875,0.5555555555555556,0.19999999999999973,0.6666666666666666,0.0,0.6666666666666666,0.0,1.0,0.0,0.0,0.0,0.0,0.5571426280120979,0.25,1.0,0.0,0.54,0.4545454545454546,0.6666666666666666,1.0,0.17391304347826086
0.0,0.0,0.0,0.0,0.0,0.0,0.625,0.4444444444444444,0.09999999999999964,0.5555555555555556,0.0,0.6666666666666666,0.0,1.0,0.0,0.0,0.0,0.0,0.37164510448879295,0.625,0.0,0.0,0.54,0.5297957743372591,0.6666666666666666,1.0,0.30434782608695654
